Frequency Rank,Word,,
1,the,article,
2,of,preposition,
3,to,preposition,
4,and,conjunction,
5,a,article,
6,in,preposition,
7,is,verb,be
8,it,pronoun,3s
9,you,pronoun,2sp
10,that,demonstrative pronoun,
11,he,pronoun,3s
12,was,verb,be
13,for,preposition,
14,on,preposition,
15,are,verb,be
16,with,preposition,
17,as,?,
18,I,pronoun,fs
19,his,pronoun,3s
20,they,pronoun,3p
21,be,verb,be
22,at,preposition,
23,one,?,
24,have,verb,have
25,this,demonstrative pronoun,
26,from,preposition,
27,or,conjunction,
28,had,verb,have
29,by,preposition,
30,hot,adjective,
31,word,noun,
32,but,conjunction,
33,what,noun,
34,some,noun,
35,we,pronoun,1p
36,can,verb,modal
37,out,preposition,
38,other,?,
39,were,verb,be
40,all,noun,
41,there,noun,
42,when,?,
43,up,preposition,
44,use,verb,use
45,your,pronoun,2sp
46,how,?,
47,said,verb,say
48,an,article,
49,each,noun,
50,she,pronoun,3s
51,which,?,
52,do,verb,do
53,their,pronoun,3p
54,time,noun,
55,if,?,
56,will,verb,will
57,way,noun,
58,about,preposition,
59,many,?,
60,then,?,
61,them,pronoun,3p
62,write,verb,write
63,would,verb,modal
64,like,verb,like
65,so,?,
66,these,demonstrative pronoun,
67,her,pronoun,3s
68,long,adjective,
69,make,verb,make
70,thing,noun,
71,see,verb,see
72,him,pronoun,3s
73,two,?,
74,has,verb,have
75,look,verb,look
76,more,?,
77,day,noun,
78,could,verb,modal
79,go,verb,go
80,come,verb,come
81,did,verb,do
82,number,noun,
83,sound,noun,
84,no,?,
85,most,?,
86,people,noun,
87,my,pronoun,1s
88,over,preposition,
89,know,verb,know
90,water,noun,
91,than,?,
92,call,verb,call
93,first,adjective,
94,who,?,
95,may,verb,modal
96,down,?,
97,side,noun,
98,been,verb,be
99,now,?,
100,find,verb,find
101,any,?,
102,new,adjective,
103,work,verb,work
104,part,noun,
105,take,verb,take
106,get,verb,get
107,place,noun,
108,made,verb,make
109,live,verb,live
